Time,Sex,Rate
Q4 1990,M ,1858
Q1 1991,M ,1862.6
Q2 1991,M ,1858.1
Q3 1991,M ,1851.3
Q4 1991,M ,1850.6
Q1 1992,M ,1837.7
Q2 1992,M ,1815.4
Q3 1992,M ,1807.5
Q4 1992,M ,1785.4
Q1 1993,M ,1766.3
Q2 1993,M ,1774.1
Q3 1993,M ,1777.1
Q4 1993,M ,1828.5
Q1 1994,M ,1820.1
Q2 1994,M ,1807.9
Q3 1994,M ,1793.2
Q4 1994,M ,1719.4
Q1 1995,M ,1724.2
Q2 1995,M ,1720
Q3 1995,M ,1711.2
Q4 1995,M ,1736.8
Q1 1996,M ,1744.2
Q2 1996,M ,1730
Q3 1996,M ,1727.4
Q4 1996,M ,1703.2
Q1 1997,M ,1693.2
Q2 1997,M ,1690.8
Q3 1997,M ,1678.4
Q4 1997,M ,1659.5
Q1 1998,M ,1618.1
Q2 1998,M ,1616.2
Q3 1998,M ,1615.6
Q4 1998,M ,1629.5
Q1 1999,M ,1665
Q2 1999,M ,1634
Q3 1999,M ,1616.3
Q4 1999,M ,1599.4
Q1 2000,M ,1596.7
Q2 2000,M ,1593.5
Q3 2000,M ,1575.8
Q4 2000,M ,1536.5
Q1 2001,M ,1489.5
Q2 2001,M ,1489.4
Q3 2001,M ,1492.2
Q4 2001,M ,1493
Q1 2002,M ,1482.6
Q2 2002,M ,1478.9
Q3 2002,M ,1478.4
Q4 2002,M ,1482.3
Q1 2003,M ,1472
Q2 2003,M ,1464.6
Q3 2003,M ,1458.6
Q4 2003,M ,1462.6
Q1 2004,M ,1454.4
Q2 2004,M ,1432.9
Q3 2004,M ,1415.3
Q4 2004,M ,1379
Q1 2005,M ,1378.4
Q2 2005,M ,1380.2
Q3 2005,M ,1363.5
Q4 2005,M ,1348.9
Q1 2006,M ,1335.2
Q2 2006,M ,1325.3
Q3 2006,M ,1320
Q4 2006,M ,1307
Q1 2007,M ,1294.8
Q2 2007,M ,1280
Q3 2007,M ,1272.4
Q4 2007,M ,1281.4
Q1 2008,M ,1271.9
Q2 2008,M ,1273.5
Q3 2008,M ,1267
Q4 2008,M ,1269.2
Q1 2009,M ,1269
Q2 2009,M ,1246.8
Q3 2009,M ,1233.4
Q4 2009,M ,1208.1
Q1 2010,M ,1189.5
Q2 2010,M ,1185.7
Q3 2010,M ,1180.7
Q4 2010,M ,1180.8
Q1 2011,M ,1173.4
Q2 2011,M ,1166.8
Q3 2011,M ,1161.6
Q4 2011,M ,1136.5
Q1 2012,M ,1134.9
Q2 2012,M ,1136.2
Q3 2012,M ,1130.4
Q4 2012,M ,1140.4
Q1 2013,M ,1146.6
Q2 2013,M ,1155.4
Q3 2013,M ,1146.7
Q4 2013,M ,1135.5
Q1 2014,M ,1110.7
Q2 2014,M ,1089.2
Q3 2014,M ,1096
Q4 2014,M ,1104
Q1 2015,M ,1144.5
Q2 2015,M ,1151.2
Q3 2015,M ,1147.6
Q4 2015,M ,1137.2
Q1 2016,M ,1108.6
Q2 2016,M ,1112
Q3 2016,M ,1108.9
Q4 2016,M ,1109
Q1 2017,M ,1126.3
Q2 2017,M ,1112.2
Q3 2017,M ,1107.5
Q4 2017,M ,1105.2
