Quarter,Sex,Rate
19904,All,10990.4
19911,All,10874.9
19912,All,10824.1
19913,All,10793.3
19914,All,10814.9
19921,All,10821
19922,All,10716.8
19923,All,10785
19924,All,10767.6
19931,All,10826.8
19932,All,11011.1
19933,All,11064.5
19934,All,11533.4
19941,All,11420
19942,All,11171
19943,All,11044.1
19944,All,10347.4
19951,All,10316.6
19952,All,10375.9
19953,All,10331.6
19954,All,10588.8
19961,All,10733.9
19962,All,10668.8
19963,All,10675.1
19964,All,10533.4
19971,All,10516.3
19972,All,10494.9
19973,All,10454.5
19974,All,10379
19981,All,10161.1
19982,All,10224.1
19983,All,10238.4
19984,All,10246.8
19991,All,10736
19992,All,10553.5
19993,All,10491.3
19994,All,10574.7
20001,All,10358.8
20002,All,10311.1
20003,All,10193
20004,All,9895.6
20011,All,9610.9
20012,All,9621.2
20013,All,9674.2
20014,All,9737.4
20021,All,9647.4
20022,All,9674.3
20023,All,9718.3
20024,All,9849.5
20031,All,9928
20032,All,9988.5
20033,All,9982.8
20034,All,10076.1
20041,All,10024.8
20042,All,9914.6
20043,All,9818.3
20044,All,9562.3
20051,All,9628.9
20052,All,9624.7
20053,All,9578
20054,All,9408.9
20061,All,9155.5
20062,All,9191.1
20063,All,9148.3
20064,All,9119
20071,All,9350.3
20072,All,9196.1
20073,All,9148.2
20074,All,9248.6
20081,All,9079.4
20082,All,9103.4
20083,All,9081.8
20084,All,9175.4
20091,All,9121.2
20092,All,8979.4
20093,All,8939.9
20094,All,8730.2
20101,All,8644.4
20102,All,8614.8
20103,All,8588.8
20104,All,8588.9
20111,All,8475.7
20112,All,8454
20113,All,8410
20114,All,8331
20121,All,8308.4
20122,All,8416.4
20123,All,8445.9
20124,All,8543.9
20131,All,8699.7
20132,All,8652.4
20133,All,8525.7
20134,All,8365.9
20141,All,8112.7
20142,All,7936.2
20143,All,8022.7
20144,All,8148
20151,All,8594.5
20152,All,8751.9
20153,All,8740.5
20154,All,8617.2
20161,All,8300.1
20162,All,8171.8
20163,All,8133
20164,All,8184.4
20171,All,8288.1
20172,All,8324.9
20173,All,8318.5
20174,All,8398.1
20181,All,8680
20182,All,8575.9
19904,M,13820.9
19911,M,13708.1
19912,M,13676.7
19913,M,13624.1
19914,M,13573.1
19921,M,13679.9
19922,M,13539.4
19923,M,13684.3
19924,M,13841.5
19931,M,13749.3
19932,M,13991.7
19933,M,13981.8
19934,M,14453
19941,M,14366.3
19942,M,14098.7
19943,M,13875.8
19944,M,13017.4
19951,M,12936.8
19952,M,12874.2
19953,M,12856.9
19954,M,13089.9
19961,M,13298.5
19962,M,13328.4
19963,M,13409.8
19964,M,13228.2
19971,M,13032.3
19972,M,12968.1
19973,M,12788.8
19974,M,12679.4
19981,M,12516.7
19982,M,12523.8
19983,M,12501.9
19984,M,12394.5
19991,M,12999.4
19992,M,12720.7
19993,M,12634.1
19994,M,12829.4
20001,M,12469.9
20002,M,12413.9
20003,M,12170.7
20004,M,11874.2
20011,M,11629.5
20012,M,11557
20013,M,11688
20014,M,11598.4
20021,M,11426.1
20022,M,11519.5
20023,M,11514.4
20024,M,11707.1
20031,M,11810.9
20032,M,11935.6
20033,M,12001.1
20034,M,12128.4
20041,M,12018.9
20042,M,11788.4
20043,M,11595.7
20044,M,11277.6
20051,M,11360.7
20052,M,11351.6
20053,M,11240.5
20054,M,11075.3
20061,M,10853.1
20062,M,10842.5
20063,M,10768.3
20064,M,10667.6
20071,M,10808
20072,M,10776.5
20073,M,10781.6
20074,M,10904.9
20081,M,10719
20082,M,10607.2
20083,M,10469.8
20084,M,10525.7
20091,M,10487.1
20092,M,10353.7
20093,M,10350
20094,M,10075.7
20101,M,10007.5
20102,M,9961.8
20103,M,9895.1
20104,M,10006.7
20111,M,9857.5
20112,M,9794.2
20113,M,9836.6
20114,M,9645.9
20121,M,9544.6
20122,M,9629.6
20123,M,9555.1
20124,M,9595.3
20131,M,9815.7
20132,M,9737.4
20133,M,9621.6
20134,M,9553.2
20141,M,9282.9
20142,M,9150
20143,M,9236.3
20144,M,9316.4
20151,M,9725.6
20152,M,9861.2
20153,M,9849
20154,M,9766.3
20161,M,9437.1
20162,M,9310.6
20163,M,9263.2
20164,M,9290.4
20171,M,9401.5
20172,M,9431.6
20173,M,9447.5
20174,M,9524.8
20181,M,9798.2
20182,M,9676.2
19904,F,9708.7
19911,F,9616.7
19912,F,9577
19913,F,9531
19914,F,9583.8
19921,F,9545
19922,F,9451.7
19923,F,9510.7
19924,F,9441.9
19931,F,9530.2
19932,F,9689.8
19933,F,9767.4
19934,F,10228.4
19941,F,10118.2
19942,F,9879.2
19943,F,9778.8
19944,F,9135.9
19951,F,9122.1
19952,F,9227.8
19953,F,9172.2
19954,F,9444.6
19961,F,9559.7
19962,F,9454.3
19963,F,9426.6
19964,F,9284.3
19971,F,9323.9
19972,F,9312.3
19973,F,9314.5
19974,F,9259.7
19981,F,9026.8
19982,F,9109.2
19983,F,9138
19984,F,9178.3
19991,F,9621.1
19992,F,9469.8
19993,F,9416.5
19994,F,9448.5
20001,F,9290.1
20002,F,9260.2
20003,F,9173.9
20004,F,8891.7
20011,F,8594.7
20012,F,8621.2
20013,F,8660.6
20014,F,8777.2
