Quarter,Sex,Rate
19904,All,1662.8
19911,All,1642.7
19912,All,1632.2
19913,All,1628
19914,All,1632.3
19921,All,1633.1
19922,All,1622.1
19923,All,1626.2
19924,All,1615.5
19931,All,1619.7
19932,All,1637.7
19933,All,1642.1
19934,All,1697.8
19941,All,1683
19942,All,1654.1
19943,All,1641.3
19944,All,1557.3
19951,All,1553.4
19952,All,1556.6
19953,All,1546
19954,All,1573.5
19961,All,1588.7
19962,All,1578
19963,All,1579.7
19964,All,1564.1
19971,All,1554.2
19972,All,1552.9
19973,All,1540.2
19974,All,1527
19981,All,1501
19982,All,1500.8
19983,All,1507.8
19984,All,1507.6
19991,All,1558.9
19992,All,1535.8
19993,All,1520.6
19994,All,1527.2
20001,All,1507.2
20002,All,1501.5
20003,All,1486.3
20004,All,1443.1
20011,All,1403.7
20012,All,1402.3
20013,All,1407.4
20014,All,1415.7
20021,All,1399.9
20022,All,1404.1
20023,All,1408.4
20024,All,1422.3
20031,All,1430
20032,All,1429.9
20033,All,1422.9
20034,All,1428.6
20041,All,1419.4
20042,All,1403.1
20043,All,1393.1
20044,All,1357.6
20051,All,1360.2
20052,All,1359.2
20053,All,1348.1
20054,All,1329.4
20061,All,1305.5
20062,All,1306.7
20063,All,1299.3
20064,All,1293.9
20071,All,1314.5
20072,All,1297.7
20073,All,1292.5
20074,All,1302.5
20081,All,1280.3
20082,All,1279.4
20083,All,1275.7
20084,All,1282
20091,All,1272.5
20092,All,1251.7
20093,All,1242.8
20094,All,1220
20101,All,1211.1
20102,All,1205.8
20103,All,1201
20104,All,1198.3
20111,All,1186.9
20112,All,1183.5
20113,All,1179.7
20114,All,1164.5
20121,All,1153.3
20122,All,1165.1
20123,All,1163.5
20124,All,1174.1
20131,All,1189.2
20132,All,1184.6
20133,All,1168.7
20134,All,1150.9
20141,All,1120.8
20142,All,1096.8
20143,All,1106
20144,All,1118.5
20151,All,1169.8
20152,All,1188.9
20153,All,1188.9
20154,All,1176.1
20161,All,1148.3
20162,All,1133.7
20163,All,1131.2
20164,All,1136.3
